code_maitre,cle,classe,sous_classe,code_atih,libelle
F01.941,F01941,connu de l'ATIH,type MCO 0,F01941,"Démence vasculaire, sans précision - ""avec d’autres symptômes, mixtes"" - ""moyenne"""
F01.942,F01942,connu de l'ATIH,type MCO 0,F01942,"Démence vasculaire, sans précision - ""avec d’autres symptômes, mixtes"" - ""sévère"""
F02.000,F02000,connu de l'ATIH,type MCO 0,F02000,"Démence de la maladie de Pick (G31.0)   - ""sans symptôme supplémentaire"" - ""légère"""
F02.001,F02001,connu de l'ATIH,type MCO 0,F02001,"Démence de la maladie de Pick (G31.0)   - ""sans symptôme supplémentaire"" - ""moyenne"""
F02.002,F02002,connu de l'ATIH,type MCO 0,F02002,"Démence de la maladie de Pick (G31.0)   - ""sans symptôme supplémentaire"" - ""sévère"""
F02.010,F02010,connu de l'ATIH,type MCO 0,F02010,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
F02.011,F02011,connu de l'ATIH,type MCO 0,F02011,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
F02.012,F02012,connu de l'ATIH,type MCO 0,F02012,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère"""
F02.020,F02020,connu de l'ATIH,type MCO 0,F02020,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère"""
F02.021,F02021,connu de l'ATIH,type MCO 0,F02021,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne"""
F02.022,F02022,connu de l'ATIH,type MCO 0,F02022,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère"""
F02.030,F02030,connu de l'ATIH,type MCO 0,F02030,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère"""
F02.031,F02031,connu de l'ATIH,type MCO 0,F02031,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne"""
F02.032,F02032,connu de l'ATIH,type MCO 0,F02032,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère"""
F02.040,F02040,connu de l'ATIH,type MCO 0,F02040,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, mixtes"" - ""légère"""
F02.041,F02041,connu de l'ATIH,type MCO 0,F02041,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, mixtes"" - ""moyenne"""
F02.042,F02042,connu de l'ATIH,type MCO 0,F02042,"Démence de la maladie de Pick (G31.0)   - ""avec d’autres symptômes, mixtes"" - ""sévère"""
F02.100,F02100,connu de l'ATIH,type MCO 0,F02100,"Démence de la maladie de Creutzfeldt–Jakob (A81.0)   - ""sans symptôme supplémentaire"" - ""légère"""
F02.101,F02101,connu de l'ATIH,type MCO 0,F02101,"Démence de la maladie de Creutzfeldt–Jakob (A81.0)   - ""sans symptôme supplémentaire"" - ""moyenne"""
F02.102,F02102,connu de l'ATIH,type MCO 0,F02102,"Démence de la maladie de Creutzfeldt–Jakob (A81.0)   - ""sans symptôme supplémentaire"" - ""sévère"""
F02.110,F02110,connu de l'ATIH,type MCO 0,F02110,"Démence de la maladie de Creutzfeldt–Jakob (A81.0)   - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
F02.111,F02111,connu de l'ATIH,type MCO 0,F02111,"Démence de la maladie de Creutzfeldt–Jakob (A81.0)   - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
